time,gen,forecast_day_ahead
2019-04-01T00:00:00.0,136,84
2019-04-01T01:00:00.0,85,50
2019-04-01T02:00:00.0,46,24
2019-04-01T03:00:00.0,8,7
2019-04-01T04:00:00.0,0,2
2019-04-01T05:00:00.0,0,1
2019-04-01T06:00:00.0,0,1
2019-04-01T07:00:00.0,0,5
2019-04-01T08:00:00.0,0,8
2019-04-01T09:00:00.0,1,14
2019-04-01T10:00:00.0,24,31
2019-04-01T11:00:00.0,53,46
2019-04-01T12:00:00.0,42,62
2019-04-01T13:00:00.0,40,71
2019-04-01T14:00:00.0,36,65
2019-04-01T15:00:00.0,28,57
2019-04-01T16:00:00.0,15,53
2019-04-01T17:00:00.0,14,63
2019-04-01T18:00:00.0,20,91
2019-04-01T19:00:00.0,33,147
2019-04-01T20:00:00.0,229,271
2019-04-01T21:00:00.0,567,475
2019-04-01T22:00:00.0,645,641
2019-04-01T23:00:00.0,751,710
2019-04-02T00:00:00.0,764,726
2019-04-02T01:00:00.0,781,747
2019-04-02T02:00:00.0,782,747
2019-04-02T03:00:00.0,790,747
2019-04-02T04:00:00.0,832,791
2019-04-02T05:00:00.0,833,791
2019-04-02T06:00:00.0,835,795
2019-04-02T07:00:00.0,836,800
2019-04-02T08:00:00.0,842,810
2019-04-02T09:00:00.0,877,802
2019-04-02T10:00:00.0,877,800
2019-04-02T11:00:00.0,892,814
2019-04-02T12:00:00.0,889,812
2019-04-02T13:00:00.0,881,809
2019-04-02T14:00:00.0,879,807
2019-04-02T15:00:00.0,884,816
2019-04-02T16:00:00.0,905,845
2019-04-02T17:00:00.0,914,872
2019-04-02T18:00:00.0,890,873
2019-04-02T19:00:00.0,881,873
2019-04-02T20:00:00.0,878,873
2019-04-02T21:00:00.0,881,872
2019-04-02T22:00:00.0,867,870
2019-04-02T23:00:00.0,880,860
2019-04-03T00:00:00.0,878,815
2019-04-03T01:00:00.0,820,771
2019-04-03T02:00:00.0,791,727
2019-04-03T03:00:00.0,861,807
2019-04-03T04:00:00.0,737,707
2019-04-03T05:00:00.0,622,593
2019-04-03T06:00:00.0,596,571
2019-04-03T07:00:00.0,516,492
2019-04-03T08:00:00.0,412,448
2019-04-03T09:00:00.0,331,368
2019-04-03T10:00:00.0,301,293
2019-04-03T11:00:00.0,185,241
2019-04-03T12:00:00.0,214,210
2019-04-03T13:00:00.0,223,196
2019-04-03T14:00:00.0,149,191
2019-04-03T15:00:00.0,203,206
2019-04-03T16:00:00.0,139,238
2019-04-03T17:00:00.0,152,290
2019-04-03T18:00:00.0,339,361
2019-04-03T19:00:00.0,693,441
2019-04-03T20:00:00.0,806,493
2019-04-03T21:00:00.0,570,507
