time,gen,forecast_day_ahead
2019-04-01T00:00:00.0,57,43
2019-04-01T01:00:00.0,32,32
2019-04-01T02:00:00.0,16,24
2019-04-01T03:00:00.0,10,16
2019-04-01T04:00:00.0,9,13
2019-04-01T05:00:00.0,7,13
2019-04-01T06:00:00.0,10,11
2019-04-01T07:00:00.0,9,10
2019-04-01T08:00:00.0,9,12
2019-04-01T09:00:00.0,10,15
2019-04-01T10:00:00.0,15,22
2019-04-01T11:00:00.0,17,33
2019-04-01T12:00:00.0,19,42
2019-04-01T13:00:00.0,28,56
2019-04-01T14:00:00.0,36,77
2019-04-01T15:00:00.0,49,102
2019-04-01T16:00:00.0,56,124
2019-04-01T17:00:00.0,84,150
2019-04-01T18:00:00.0,115,171
2019-04-01T19:00:00.0,150,192
2019-04-01T20:00:00.0,182,234
2019-04-01T21:00:00.0,249,286
2019-04-01T22:00:00.0,283,329
2019-04-01T23:00:00.0,263,348
2019-04-02T00:00:00.0,260,260
2019-04-02T01:00:00.0,286,287
2019-04-02T02:00:00.0,354,325
2019-04-02T03:00:00.0,384,360
2019-04-02T04:00:00.0,411,376
2019-04-02T05:00:00.0,408,395
2019-04-02T06:00:00.0,400,412
2019-04-02T07:00:00.0,385,398
2019-04-02T08:00:00.0,446,400
2019-04-02T09:00:00.0,478,417
2019-04-02T10:00:00.0,497,437
2019-04-02T11:00:00.0,513,453
2019-04-02T12:00:00.0,499,466
2019-04-02T13:00:00.0,526,481
2019-04-02T14:00:00.0,537,497
2019-04-02T15:00:00.0,543,508
2019-04-02T16:00:00.0,537,498
2019-04-02T17:00:00.0,487,474
2019-04-02T18:00:00.0,426,457
2019-04-02T19:00:00.0,399,466
2019-04-02T20:00:00.0,396,480
2019-04-02T21:00:00.0,415,484
2019-04-02T22:00:00.0,383,486
2019-04-02T23:00:00.0,365,477
2019-04-03T00:00:00.0,337,373
2019-04-03T01:00:00.0,375,363
2019-04-03T02:00:00.0,384,358
2019-04-03T03:00:00.0,297,328
2019-04-03T04:00:00.0,258,294
2019-04-03T05:00:00.0,247,265
2019-04-03T06:00:00.0,203,217
2019-04-03T07:00:00.0,138,142
2019-04-03T08:00:00.0,101,94
2019-04-03T09:00:00.0,84,70
2019-04-03T10:00:00.0,56,55
2019-04-03T11:00:00.0,52,52
2019-04-03T12:00:00.0,28,53
2019-04-03T13:00:00.0,23,54
2019-04-03T14:00:00.0,59,65
2019-04-03T15:00:00.0,76,84
2019-04-03T16:00:00.0,129,108
2019-04-03T17:00:00.0,158,121
2019-04-03T18:00:00.0,142,123
2019-04-03T19:00:00.0,155,126
2019-04-03T20:00:00.0,175,137
2019-04-03T21:00:00.0,156,153
2019-04-03T22:00:00.0,165,179
2019-04-03T23:00:00.0,216,192
2019-04-04T00:00:00.0,281,253
2019-04-04T01:00:00.0,284,286
2019-04-04T02:00:00.0,285,268
2019-04-04T03:00:00.0,276,270
2019-04-04T04:00:00.0,274,281
2019-04-04T05:00:00.0,241,243
2019-04-04T06:00:00.0,220,220
2019-04-04T07:00:00.0,233,220
2019-04-04T08:00:00.0,211,222
2019-04-04T09:00:00.0,163,204
2019-04-04T10:00:00.0,157,197
2019-04-04T11:00:00.0,147,209
2019-04-04T12:00:00.0,146,230
2019-04-04T13:00:00.0,177,256
2019-04-04T14:00:00.0,258,287
2019-04-04T15:00:00.0,280,316
2019-04-04T16:00:00.0,277,333
2019-04-04T17:00:00.0,255,328
2019-04-04T18:00:00.0,193,305
2019-04-04T19:00:00.0,207,304
2019-04-04T20:00:00.0,246,312
2019-04-04T21:00:00.0,233,300
2019-04-04T22:00:00.0,222,274
2019-04-04T23:00:00.0,218,258
2019-04-05T00:00:00.0,213,199
2019-04-05T01:00:00.0,195,192
2019-04-05T02:00:00.0,176,177
2019-04-05T03:00:00.0,175,158
2019-04-05T04:00:00.0,186,165
2019-04-05T05:00:00.0,184,193
2019-04-05T06:00:00.0,180,176
2019-04-05T07:00:00.0,206,199
2019-04-05T08:00:00.0,196,214
2019-04-05T09:00:00.0,192,208
2019-04-05T10:00:00.0,223,223
2019-04-05T11:00:00.0,213,253
2019-04-05T12:00:00.0,264,288
2019-04-05T13:00:00.0,321,319
2019-04-05T14:00:00.0,332,349
2019-04-05T15:00:00.0,362,375
2019-04-05T16:00:00.0,356,383
2019-04-05T17:00:00.0,327,380
2019-04-05T18:00:00.0,308,380
2019-04-05T19:00:00.0,311,404
2019-04-05T20:00:00.0,327,429
2019-04-05T21:00:00.0,301,406
2019-04-05T22:00:00.0,253,358
2019-04-05T23:00:00.0,228,303
2019-04-06T00:00:00.0,164,159
2019-04-06T01:00:00.0,113,112
2019-04-06T02:00:00.0,65,74
2019-04-06T03:00:00.0,52,47
2019-04-06T04:00:00.0,51,49
2019-04-06T05:00:00.0,60,61
2019-04-06T06:00:00.0,73,77
2019-04-06T07:00:00.0,77,82
2019-04-06T08:00:00.0,84,84
2019-04-06T09:00:00.0,73,81
2019-04-06T10:00:00.0,77,81
2019-04-06T11:00:00.0,78,88
2019-04-06T12:00:00.0,95,100
2019-04-06T13:00:00.0,122,119
2019-04-06T14:00:00.0,148,146
2019-04-06T15:00:00.0,175,179
2019-04-06T16:00:00.0,180,208
2019-04-06T17:00:00.0,160,218
2019-04-06T18:00:00.0,148,219
2019-04-06T19:00:00.0,150,238
2019-04-06T20:00:00.0,160,267
2019-04-06T21:00:00.0,146,281
2019-04-06T22:00:00.0,146,273
2019-04-06T23:00:00.0,132,254
2019-04-07T00:00:00.0,129,119
2019-04-07T01:00:00.0,122,114
2019-04-07T02:00:00.0,102,99
2019-04-07T03:00:00.0,74,73
2019-04-07T04:00:00.0,65,58
2019-04-07T05:00:00.0,58,59
2019-04-07T06:00:00.0,43,52
2019-04-07T07:00:00.0,35,37
2019-04-07T08:00:00.0,23,33
2019-04-07T09:00:00.0,10,24
2019-04-07T10:00:00.0,5,18
2019-04-07T11:00:00.0,5,15
2019-04-07T12:00:00.0,5,14
2019-04-07T13:00:00.0,5,13
2019-04-07T14:00:00.0,6,14
2019-04-07T15:00:00.0,11,16
2019-04-07T16:00:00.0,13,17
2019-04-07T17:00:00.0,14,19
2019-04-07T18:00:00.0,17,20
2019-04-07T19:00:00.0,26,24
2019-04-07T20:00:00.0,34,27
2019-04-07T21:00:00.0,36,29
2019-04-07T22:00:00.0,42,31
2019-04-07T23:00:00.0,38,34
2019-04-08T00:00:00.0,44,46
2019-04-08T01:00:00.0,68,61
2019-04-08T02:00:00.0,81,79
2019-04-08T03:00:00.0,105,102
2019-04-08T04:00:00.0,130,131
2019-04-08T05:00:00.0,153,152
2019-04-08T06:00:00.0,189,186
2019-04-08T07:00:00.0,202,217
2019-04-08T08:00:00.0,202,235
2019-04-08T09:00:00.0,237,228
2019-04-08T10:00:00.0,205,218
2019-04-08T11:00:00.0,194,213
2019-04-08T12:00:00.0,210,202
2019-04-08T13:00:00.0,198,174
2019-04-08T14:00:00.0,174,153
2019-04-08T15:00:00.0,156,142
2019-04-08T16:00:00.0,154,139
2019-04-08T17:00:00.0,134,122
2019-04-08T18:00:00.0,95,96
2019-04-08T19:00:00.0,55,72
2019-04-08T20:00:00.0,47,61
2019-04-08T21:00:00.0,39,57
2019-04-08T22:00:00.0,32,51
2019-04-08T23:00:00.0,30,43
2019-04-09T00:00:00.0,25,23
2019-04-09T01:00:00.0,33,27
2019-04-09T02:00:00.0,26,29
2019-04-09T03:00:00.0,37,29
2019-04-09T04:00:00.0,42,35
2019-04-09T05:00:00.0,52,45
2019-04-09T06:00:00.0,60,59
2019-04-09T07:00:00.0,60,65
2019-04-09T08:00:00.0,80,91
2019-04-09T09:00:00.0,125,137
2019-04-09T10:00:00.0,187,173
2019-04-09T11:00:00.0,182,178
2019-04-09T12:00:00.0,165,161
2019-04-09T13:00:00.0,149,139
2019-04-09T14:00:00.0,144,132
2019-04-09T15:00:00.0,167,142
2019-04-09T16:00:00.0,177,153
2019-04-09T17:00:00.0,174,173
2019-04-09T18:00:00.0,175,181
2019-04-09T19:00:00.0,150,175
2019-04-09T20:00:00.0,119,161
2019-04-09T21:00:00.0,77,139
2019-04-09T22:00:00.0,69,123
2019-04-09T23:00:00.0,71,105
2019-04-10T00:00:00.0,65,57
2019-04-10T01:00:00.0,54,52
2019-04-10T02:00:00.0,47,45
2019-04-10T03:00:00.0,45,46
2019-04-10T04:00:00.0,51,60
2019-04-10T05:00:00.0,72,75
2019-04-10T06:00:00.0,95,94
2019-04-10T07:00:00.0,111,118
2019-04-10T08:00:00.0,113,137
2019-04-10T09:00:00.0,115,146
2019-04-10T10:00:00.0,115,147
2019-04-10T11:00:00.0,113,145
2019-04-10T12:00:00.0,109,136
2019-04-10T13:00:00.0,111,122
2019-04-10T14:00:00.0,95,119
2019-04-10T15:00:00.0,81,117
2019-04-10T16:00:00.0,78,116
2019-04-10T17:00:00.0,80,112
2019-04-10T18:00:00.0,83,104
2019-04-10T19:00:00.0,82,84
2019-04-10T20:00:00.0,73,70
2019-04-10T21:00:00.0,62,67
2019-04-10T22:00:00.0,67,66
2019-04-10T23:00:00.0,59,61
2019-04-11T00:00:00.0,43,58
2019-04-11T01:00:00.0,36,34
2019-04-11T02:00:00.0,33,29
2019-04-11T03:00:00.0,31,27
2019-04-11T04:00:00.0,32,27
2019-04-11T05:00:00.0,37,32
2019-04-11T06:00:00.0,32,33
2019-04-11T07:00:00.0,34,31
2019-04-11T08:00:00.0,37,41
2019-04-11T09:00:00.0,42,45
2019-04-11T10:00:00.0,39,45
2019-04-11T11:00:00.0,40,47
2019-04-11T12:00:00.0,46,48
2019-04-11T13:00:00.0,49,44
2019-04-11T14:00:00.0,43,46
2019-04-11T15:00:00.0,35,52
2019-04-11T16:00:00.0,33,61
2019-04-11T17:00:00.0,32,65
2019-04-11T18:00:00.0,36,62
2019-04-11T19:00:00.0,35,57
2019-04-11T20:00:00.0,39,49
2019-04-11T21:00:00.0,36,42
2019-04-11T22:00:00.0,40,40
2019-04-11T23:00:00.0,48,39
2019-04-12T00:00:00.0,41,38
2019-04-12T01:00:00.0,35,31
2019-04-12T02:00:00.0,31,26
2019-04-12T03:00:00.0,35,27
2019-04-12T04:00:00.0,42,33
2019-04-12T05:00:00.0,33,34
2019-04-12T06:00:00.0,28,28
2019-04-12T07:00:00.0,38,36
2019-04-12T08:00:00.0,47,49
2019-04-12T09:00:00.0,53,58
2019-04-12T10:00:00.0,52,72
2019-04-12T11:00:00.0,62,82
2019-04-12T12:00:00.0,76,85
2019-04-12T13:00:00.0,81,85
2019-04-12T14:00:00.0,91,88
2019-04-12T15:00:00.0,93,91
2019-04-12T16:00:00.0,104,100
2019-04-12T17:00:00.0,125,106
2019-04-12T18:00:00.0,111,100
2019-04-12T19:00:00.0,93,87
2019-04-12T20:00:00.0,75,85
2019-04-12T21:00:00.0,86,89
2019-04-12T22:00:00.0,103,94
2019-04-12T23:00:00.0,90,96
2019-04-13T00:00:00.0,80,90
2019-04-13T01:00:00.0,125,108
2019-04-13T02:00:00.0,145,130
2019-04-13T03:00:00.0,187,188
2019-04-13T04:00:00.0,187,212
2019-04-13T05:00:00.0,184,219
2019-04-13T06:00:00.0,198,226
2019-04-13T07:00:00.0,191,232
2019-04-13T08:00:00.0,199,233
2019-04-13T09:00:00.0,221,251
2019-04-13T10:00:00.0,260,277
2019-04-13T11:00:00.0,309,297
2019-04-13T12:00:00.0,330,322
2019-04-13T13:00:00.0,314,348
2019-04-13T14:00:00.0,308,376
2019-04-13T15:00:00.0,331,396
2019-04-13T16:00:00.0,326,396
2019-04-13T17:00:00.0,372,375
2019-04-13T18:00:00.0,384,347
2019-04-13T19:00:00.0,352,330
2019-04-13T20:00:00.0,288,314
2019-04-13T21:00:00.0,257,303
2019-04-13T22:00:00.0,274,298
2019-04-13T23:00:00.0,291,293
2019-04-14T00:00:00.0,298,319
2019-04-14T01:00:00.0,291,315
2019-04-14T02:00:00.0,275,306
2019-04-14T03:00:00.0,285,308
2019-04-14T04:00:00.0,263,307
2019-04-14T05:00:00.0,242,275
2019-04-14T06:00:00.0,249,291
2019-04-14T07:00:00.0,225,304
2019-04-14T08:00:00.0,225,301
2019-04-14T09:00:00.0,250,300
2019-04-14T10:00:00.0,277,322
2019-04-14T11:00:00.0,331,347
2019-04-14T12:00:00.0,354,364
2019-04-14T13:00:00.0,389,375
2019-04-14T14:00:00.0,402,391
2019-04-14T15:00:00.0,395,402
2019-04-14T16:00:00.0,377,404
2019-04-14T17:00:00.0,338,389
2019-04-14T18:00:00.0,322,377
2019-04-14T19:00:00.0,286,361
