incumbent,lb,time,rank
1.0e100, 1.8667009280328408e6, 0.9983997344970703, 0.0
1.0e100, 1.866700928032841e6, 1.1908836364746094, 0.0
1.0e100, 1.8667009280328418e6, 1.3235301971435547, 0.0
1.0e100, 1.8667009280328427e6, 133.60384368896484, 0.0
1.0e100, 1.8667009280328592e6, 135.45489501953125, 0.0
1.9452638935397244e6, 1.8667009280328592e6, 2851.2874069213867, 0.0
1.9124942653907367e6, 1.8667009280328592e6, 2860.6623401641846, 0.0
1.9021307967755098e6, 1.8667009280328592e6, 2860.7899990081787, 0.0
1.8951567557045773e6, 1.8667009280328592e6, 2967.7909030914307, 0.0
1.8752725123442323e6, 1.8667009280328592e6, 2976.6442337036133, 0.0
1.8726397472150777e6, 1.8667009280328592e6, 2995.6254806518555, 0.0
1.8713033666993387e6, 1.8667009280328592e6, 3014.498020172119, 0.0
1.8678153075493712e6, 1.8667009280328592e6, 3043.9512691497803, 0.0
1.8672903670773779e6, 1.8667009280328592e6, 3149.46315574646, 0.0
1.8672815608317065e6, 1.8667009280328592e6, 3253.2905445098877, 0.0
1.8672815608317065e6, 1.866700928032865e6, 3338.732095718384, 0.0
1.8672627999692573e6, 1.866700928032865e6, 3363.5896320343018, 0.0
1.8671089808515746e6, 1.866700928032865e6, 3522.0130462646484, 0.0
1.8671089808515746e6, 1.866700928032865e6, 3600.0, 0.0
