time,gen,forecast_day_ahead
2019-04-01T00:00:00.0,154,175
2019-04-01T01:00:00.0,73,108
2019-04-01T02:00:00.0,21,63
2019-04-01T03:00:00.0,6,33
2019-04-01T04:00:00.0,2,21
2019-04-01T05:00:00.0,1,21
2019-04-01T06:00:00.0,1,27
2019-04-01T07:00:00.0,2,40
2019-04-01T08:00:00.0,6,55
2019-04-01T09:00:00.0,15,74
2019-04-01T10:00:00.0,61,130
2019-04-01T11:00:00.0,180,188
2019-04-01T12:00:00.0,206,211
2019-04-01T13:00:00.0,230,230
2019-04-01T14:00:00.0,254,263
2019-04-01T15:00:00.0,283,320
2019-04-01T16:00:00.0,319,387
2019-04-01T17:00:00.0,385,458
2019-04-01T18:00:00.0,427,461
2019-04-01T19:00:00.0,429,445
2019-04-01T20:00:00.0,550,525
2019-04-01T21:00:00.0,660,697
2019-04-01T22:00:00.0,803,897
2019-04-01T23:00:00.0,968,1039
2019-04-02T00:00:00.0,1084,1043
2019-04-02T01:00:00.0,1180,1152
2019-04-02T02:00:00.0,1252,1247
2019-04-02T03:00:00.0,1314,1305
2019-04-02T04:00:00.0,1413,1370
2019-04-02T05:00:00.0,1478,1473
2019-04-02T06:00:00.0,1478,1497
2019-04-02T07:00:00.0,1284,1293
2019-04-02T08:00:00.0,1398,1422
2019-04-02T09:00:00.0,1645,1659
2019-04-02T10:00:00.0,1964,1790
2019-04-02T11:00:00.0,2169,1914
2019-04-02T12:00:00.0,2271,2047
2019-04-02T13:00:00.0,2349,2188
2019-04-02T14:00:00.0,2336,2333
2019-04-02T15:00:00.0,2320,2443
2019-04-02T16:00:00.0,2508,2447
2019-04-02T17:00:00.0,2552,2357
2019-04-02T18:00:00.0,2001,2285
2019-04-02T19:00:00.0,1722,2250
2019-04-02T20:00:00.0,1630,2283
2019-04-02T21:00:00.0,1672,2266
2019-04-02T22:00:00.0,1423,2215
2019-04-02T23:00:00.0,1303,2074
2019-04-03T00:00:00.0,1100,1028
2019-04-03T01:00:00.0,1239,1248
2019-04-03T02:00:00.0,1281,1239
2019-04-03T03:00:00.0,1222,1160
2019-04-03T04:00:00.0,1122,1072
2019-04-03T05:00:00.0,904,907
2019-04-03T06:00:00.0,696,665
2019-04-03T07:00:00.0,566,530
2019-04-03T08:00:00.0,380,429
2019-04-03T09:00:00.0,224,308
2019-04-03T10:00:00.0,141,235
2019-04-03T11:00:00.0,136,197
2019-04-03T12:00:00.0,101,186
2019-04-03T13:00:00.0,139,190
2019-04-03T14:00:00.0,241,221
2019-04-03T15:00:00.0,295,293
2019-04-03T16:00:00.0,347,376
2019-04-03T17:00:00.0,444,426
2019-04-03T18:00:00.0,598,466
2019-04-03T19:00:00.0,605,506
2019-04-03T20:00:00.0,555,531
2019-04-03T21:00:00.0,636,513
2019-04-03T22:00:00.0,684,506
2019-04-03T23:00:00.0,704,514
2019-04-04T00:00:00.0,813,672
2019-04-04T01:00:00.0,872,761
2019-04-04T02:00:00.0,873,764
2019-04-04T03:00:00.0,961,822
2019-04-04T04:00:00.0,1098,924
2019-04-04T05:00:00.0,1141,987
2019-04-04T06:00:00.0,1129,957
2019-04-04T07:00:00.0,1186,996
2019-04-04T08:00:00.0,1077,922
2019-04-04T09:00:00.0,886,817
2019-04-04T10:00:00.0,739,776
2019-04-04T11:00:00.0,588,760
2019-04-04T12:00:00.0,546,757
2019-04-04T13:00:00.0,595,781
2019-04-04T14:00:00.0,685,860
2019-04-04T15:00:00.0,744,982
2019-04-04T16:00:00.0,689,1080
2019-04-04T17:00:00.0,578,1059
2019-04-04T18:00:00.0,511,936
2019-04-04T19:00:00.0,530,870
2019-04-04T20:00:00.0,622,911
2019-04-04T21:00:00.0,683,959
2019-04-04T22:00:00.0,668,953
2019-04-04T23:00:00.0,653,909
2019-04-05T00:00:00.0,639,508
2019-04-05T01:00:00.0,593,500
2019-04-05T02:00:00.0,462,432
2019-04-05T03:00:00.0,413,377
2019-04-05T04:00:00.0,428,383
2019-04-05T05:00:00.0,517,465
2019-04-05T06:00:00.0,615,570
2019-04-05T07:00:00.0,599,556
2019-04-05T08:00:00.0,531,531
2019-04-05T09:00:00.0,480,553
2019-04-05T10:00:00.0,559,637
2019-04-05T11:00:00.0,672,743
2019-04-05T12:00:00.0,820,840
2019-04-05T13:00:00.0,973,917
2019-04-05T14:00:00.0,1037,987
2019-04-05T15:00:00.0,1007,1060
2019-04-05T16:00:00.0,974,1103
2019-04-05T17:00:00.0,936,1098
2019-04-05T18:00:00.0,845,1061
2019-04-05T19:00:00.0,837,1094
2019-04-05T20:00:00.0,906,1205
2019-04-05T21:00:00.0,909,1297
2019-04-05T22:00:00.0,895,1339
2019-04-05T23:00:00.0,824,1316
2019-04-06T00:00:00.0,746,652
2019-04-06T01:00:00.0,706,601
2019-04-06T02:00:00.0,633,564
2019-04-06T03:00:00.0,554,476
2019-04-06T04:00:00.0,507,435
2019-04-06T05:00:00.0,476,426
2019-04-06T06:00:00.0,415,383
2019-04-06T07:00:00.0,323,298
2019-04-06T08:00:00.0,232,252
2019-04-06T09:00:00.0,185,223
2019-04-06T10:00:00.0,188,219
2019-04-06T11:00:00.0,201,238
2019-04-06T12:00:00.0,232,252
2019-04-06T13:00:00.0,288,252
2019-04-06T14:00:00.0,265,270
2019-04-06T15:00:00.0,296,301
2019-04-06T16:00:00.0,302,320
2019-04-06T17:00:00.0,263,330
2019-04-06T18:00:00.0,241,336
2019-04-06T19:00:00.0,258,351
2019-04-06T20:00:00.0,357,388
2019-04-06T21:00:00.0,371,407
2019-04-06T22:00:00.0,338,401
2019-04-06T23:00:00.0,329,373
2019-04-07T00:00:00.0,302,231
2019-04-07T01:00:00.0,268,210
2019-04-07T02:00:00.0,187,169
2019-04-07T03:00:00.0,115,108
2019-04-07T04:00:00.0,95,77
2019-04-07T05:00:00.0,148,96
2019-04-07T06:00:00.0,177,144
2019-04-07T07:00:00.0,227,177
2019-04-07T08:00:00.0,251,195
2019-04-07T09:00:00.0,245,187
2019-04-07T10:00:00.0,252,192
2019-04-07T11:00:00.0,274,218
2019-04-07T12:00:00.0,290,241
2019-04-07T13:00:00.0,287,236
2019-04-07T14:00:00.0,294,248
2019-04-07T15:00:00.0,336,285
2019-04-07T16:00:00.0,411,348
2019-04-07T17:00:00.0,479,392
2019-04-07T18:00:00.0,538,424
2019-04-07T19:00:00.0,538,477
2019-04-07T20:00:00.0,598,560
2019-04-07T21:00:00.0,691,670
2019-04-07T22:00:00.0,743,753
