incumbent,lb,time,rank
1.0e100, 1.8667009280328408e6, 1.524923324584961, 0.0
1.0e100, 1.866700928032841e6, 1.8031787872314453, 0.0
1.0e100, 1.8667009280328418e6, 1.9846935272216797, 0.0
1.870286360639169e6, 1.8667009280328418e6, 3.2931957244873047, 1.0
1.0e100, 1.8667009280328418e6, 3.812807083129883, 0.0
1.870286360639169e6, 1.8667009280328418e6, 3.8995742797851562, 0.0
1.870286360639169e6, 1.866700928032842e6, 4.256620407104492, 0.0
1.8702585602931809e6, 1.866700928032842e6, 20.587953567504883, 0.0
1.870286360639169e6, 1.866700928032842e6, 30.711885452270508, 1.0
1.8702585602931809e6, 1.866700928032842e6, 30.71786880493164, 0.0
1.8697060067965419e6, 1.866700928032842e6, 30.722854614257812, 0.0
1.8697060067965419e6, 1.8667009280328471e6, 52.57442855834961, 0.0
1.8702863606391693e6, 1.8667009280328471e6, 52.57442855834961, 1.0
1.8697060067965419e6, 1.8667009280328471e6, 52.72502517700195, 0.0
1.8697060067965419e6, 1.866700928032857e6, 61.587331771850586, 0.0
1.869469057355541e6, 1.866700928032857e6, 93.21277236938477, 0.0
1.870259100291176e6, 1.866700928032857e6, 110.94436073303223, 1.0
1.869469057355541e6, 1.866700928032857e6, 110.94536018371582, 0.0
1.8702590052432043e6, 1.866700928032857e6, 123.4269847869873, 1.0
1.869469057355541e6, 1.866700928032857e6, 123.42798805236816, 0.0
1.8697946581317051e6, 1.866700928032857e6, 131.06256866455078, 1.0
1.869469057355541e6, 1.866700928032857e6, 131.063570022583, 0.0
1.8694219179137158e6, 1.866700928032857e6, 165.7119255065918, 1.0
1.8694219179137154e6, 1.866700928032857e6, 165.71491813659668, 0.0
1.8694134177178547e6, 1.866700928032857e6, 172.62145042419434, 1.0
1.8694134177178545e6, 1.866700928032857e6, 172.62444305419922, 0.0
1.8684273376840116e6, 1.866700928032857e6, 172.6463851928711, 1.0
1.8682528029538426e6, 1.866700928032857e6, 179.7134895324707, 1.0
1.8682528029538423e6, 1.866700928032857e6, 179.7164821624756, 0.0
1.867905446483593e6, 1.866700928032857e6, 186.04555892944336, 1.0
1.8679054464835927e6, 1.866700928032857e6, 186.04855155944824, 0.0
1.8676632264278713e6, 1.866700928032857e6, 213.72554969787598, 1.0
1.8676632264278708e6, 1.866700928032857e6, 213.72953987121582, 0.0
1.8676565528049478e6, 1.866700928032857e6, 236.14959144592285, 1.0
1.8674329639404998e6, 1.866700928032857e6, 285.8846130371094, 1.0
1.867329217270752e6, 1.866700928032857e6, 369.67956733703613, 1.0
1.8673292172707515e6, 1.866700928032857e6, 369.6845531463623, 0.0
1.8672101327475677e6, 1.866700928032857e6, 379.13927268981934, 1.0
1.8672101327475675e6, 1.866700928032857e6, 379.1452579498291, 0.0
1.867022671413926e6, 1.866700928032857e6, 461.34746742248535, 1.0
1.8670226714139255e6, 1.866700928032857e6, 461.3554458618164, 0.0
1.8670132496651446e6, 1.866700928032857e6, 472.1156749725342, 1.0
1.8670132496651444e6, 1.866700928032857e6, 472.120662689209, 0.0
1.8669896597058391e6, 1.866700928032857e6, 544.1889686584473, 1.0
1.8669896597058387e6, 1.866700928032857e6, 544.194953918457, 0.0
1.8669261291712527e6, 1.866700928032857e6, 572.9191513061523, 1.0
1.8669261291712525e6, 1.866700928032857e6, 572.9251346588135, 0.0
1.8669261291712527e6, 1.866700928032857e6, 689.6799621582031, 1.0
1.8669261291712525e6, 1.866700928032857e6, 689.6809577941895, 0.0
1.8669202134544184e6, 1.866700928032857e6, 805.4264812469482, 1.0
1.8669147881924822e6, 1.866700928032857e6, 837.9425430297852, 1.0
1.8669146585269107e6, 1.866700928032857e6, 1264.8765888214111, 1.0
1.866792597583543e6, 1.866700928032857e6, 1264.8895530700684, 1.0
1.8667925975835426e6, 1.866700928032857e6, 1264.9025192260742, 0.0
1.8667009280328364e6, 1.866700928032857e6, 1264.9035167694092, 1.0
1.8667009280328366e6, 1.8667009280328366e6, 1264.9693412780762, 0.0
